City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
251,Manta,EC,-0.95,-80.73,80.6,65,75,16.11,broken clouds
252,Cayenne,GF,4.93,-52.33,84.2,70,0,9.17,clear sky
253,Jinxiang,CN,27.43,120.61,63.34,85,2,6.71,clear sky
254,Gazanjyk,TM,39.24,55.52,51.33,41,0,12.37,clear sky
255,Victoria,HK,22.29,114.16,77.0,71,55,1.01,broken clouds
256,Natalio,PY,-26.72,-55.08,78.64,42,0,3.53,clear sky
257,Masterton,NZ,-40.96,175.66,57.0,89,100,3.0,overcast clouds
258,Mikhaylov,RU,54.23,39.02,37.0,89,39,3.0,scattered clouds
259,San Rafael,AR,-34.62,-68.33,73.92,21,2,8.12,clear sky
260,Yerbogachen,RU,61.28,108.01,17.64,97,79,4.21,broken clouds
261,Severnyy,RU,50.68,36.55,42.8,75,0,13.42,clear sky
262,Aktau,KZ,43.65,51.2,33.8,74,0,11.18,clear sky
263,Key West,US,24.56,-81.78,87.8,79,20,14.99,few clouds
264,Sitka,US,57.05,-135.33,46.4,87,90,5.82,moderate rain
265,General Delgado,PY,-27.17,-56.52,80.6,50,0,8.05,clear sky
266,Keuruu,FI,62.27,24.7,48.2,93,75,6.93,broken clouds
267,Yerofey Pavlovich,RU,53.97,121.97,18.61,89,95,3.31,overcast clouds
268,Dordrecht,NL,51.81,4.67,54.0,93,100,11.01,moderate rain
269,Ylojarvi,FI,61.56,23.6,48.2,93,75,6.93,broken clouds
270,Adrar,MR,20.5,-10.07,87.17,14,0,14.03,clear sky
271,Chhatarpur,IN,24.9,79.6,67.98,35,0,1.25,clear sky
272,Terra Santa,BR,-2.1,-56.49,92.93,45,99,2.37,overcast clouds
273,Aras,ES,42.56,-2.36,54.0,87,20,1.88,few clouds
274,Berlevag,NO,70.86,29.09,33.8,80,0,6.93,clear sky
275,Bonthe,SL,7.53,-12.51,80.62,81,99,5.37,overcast clouds
276,Puerto Escondido,MX,15.85,-97.07,78.8,74,90,2.24,overcast clouds
